ID, Loan Amount ,Term,Interest Rate, Installment ,Home Owner, Amount ,Verification Status,Issue Date,Loan Status,Purpose,Total Payment
1," ? 8,000 ",36 months,11.50%, ? 264 ,RENT," ? 7,850 ",Source Verified,2015-06-28,Fully Paid,debt_consolidation," ? 9,111 "
2," ? 15,500 ",36 months,6.53%, ? 475 ,RENT," ? 15,600 ",Verified,2016-07-23,Current,debt_consolidation," ? 9,983 "
3," ? 28,000 ",36 months,9.11%, ? 892 ,OWN," ? 28,050 ",Verified,2017-02-17,Fully Paid,medical," ? 32,439 "
4," ? 3,500 ",60 months,16.72%, ? 86 ,OTHER," ? 3,600 ",Verified,2016-08-23,Current,home_improvement," ? 3,201 "
5," ? 13,000 ",60 months,6.92%, ? 257 ,RENT," ? 13,000 ",Not Verified,2016-04-21,Current,debt_consolidation," ? 5,735 "
6," ? 24,000 ",36 months,13.11%, ? 810 ,MORTGAGE," ? 23,850 ",Source Verified,2015-12-17,Fully Paid,debt_consolidation," ? 29,047 "
7," ? 18,000 ",60 months,18.80%, ? 465 ,MORTGAGE," ? 18,050 ",Not Verified,2015-04-25,Fully Paid,debt_consolidation," ? 27,382 "
8," ? 18,000 ",36 months,24.26%, ? 709 ,MORTGAGE," ? 18,050 ",Verified,2017-10-19,Fully Paid,other," ? 25,406 "
9," ? 17,500 ",36 months,20.90%, ? 658 ,MORTGAGE," ? 17,600 ",Not Verified,2017-03-28,Fully Paid,other," ? 22,846 "
10," ? 32,500 ",36 months,6.94%," ? 1,003 ",RENT," ? 32,400 ",Not Verified,2017-05-14,Fully Paid,debt_consolidation," ? 36,440 "
11," ? 30,500 ",36 months,25.42%," ? 1,219 ",MORTGAGE," ? 30,300 ",Not Verified,2015-08-23,Charged Off,credit_card," ? 13,466 "
12," ? 22,500 ",36 months,14.70%, ? 777 ,MORTGAGE," ? 22,500 ",Not Verified,2016-01-01,Fully Paid,debt_consolidation," ? 28,310 "
13," ? 33,000 ",36 months,9.06%," ? 1,050 ",MORTGAGE," ? 32,800 ",Source Verified,2017-09-27,Fully Paid,other," ? 39,243 "
14," ? 20,500 ",36 months,10.82%, ? 669 ,MORTGAGE," ? 20,350 ",Verified,2017-09-22,Current,other," ? 10,112 "
15," ? 9,000 ",36 months,15.51%, ? 314 ,MORTGAGE," ? 9,000 ",Source Verified,2017-05-16,Current,other," ? 6,258 "
16," ? 13,500 ",60 months,13.98%, ? 314 ,MORTGAGE," ? 13,550 ",Source Verified,2017-11-25,Fully Paid,debt_consolidation," ? 18,017 "
17," ? 2,000 ",36 months,10.60%, ? 65 ,RENT," ? 1,850 ",Not Verified,2015-05-01,Fully Paid,other," ? 2,428 "
18," ? 5,500 ",36 months,11.57%, ? 182 ,MORTGAGE," ? 5,400 ",Not Verified,2017-08-26,Fully Paid,credit_card," ? 6,475 "
19," ? 7,000 ",36 months,14.62%, ? 241 ,RENT," ? 7,150 ",Not Verified,2015-04-21,Charged Off,other," ? 2,080 "
20," ? 26,500 ",60 months,22.01%, ? 732 ,RENT," ? 26,450 ",Verified,2017-07-07,Fully Paid,debt_consolidation," ? 43,759 "
21," ? 5,500 ",36 months,23.23%, ? 214 ,MORTGAGE," ? 5,300 ",Source Verified,2015-01-31,Current,other," ? 4,684 "
22," ? 11,500 ",36 months,15.63%, ? 402 ,MORTGAGE," ? 11,300 ",Verified,2015-01-05,Current,debt_consolidation," ? 8,260 "
23," ? 30,000 ",36 months,19.93%," ? 1,114 ",MORTGAGE," ? 30,150 ",Verified,2016-08-30,Fully Paid,debt_consolidation," ? 41,044 "
24," ? 4,500 ",60 months,7.14%, ? 89 ,MORTGAGE," ? 4,400 ",Verified,2017-11-06,Fully Paid,debt_consolidation," ? 5,415 "
25," ? 16,000 ",36 months,24.83%, ? 635 ,MORTGAGE," ? 15,800 ",Source Verified,2017-05-08,Charged Off,credit_card," ? 7,462 "
26," ? 17,500 ",36 months,20.32%, ? 653 ,RENT," ? 17,600 ",Verified,2016-09-06,Fully Paid,other," ? 24,541 "
27," ? 1,500 ",36 months,25.97%, ? 60 ,OTHER," ? 1,350 ",Source Verified,2017-11-02,Fully Paid,other," ? 2,258 "
28," ? 16,500 ",36 months,9.15%, ? 526 ,MORTGAGE," ? 16,500 ",Source Verified,2017-12-19,Fully Paid,car," ? 18,551 "
29," ? 7,500 ",60 months,8.69%, ? 155 ,RENT," ? 7,350 ",Not Verified,2015-11-15,Fully Paid,home_improvement," ? 9,475 "
30," ? 14,000 ",36 months,23.06%, ? 542 ,MORTGAGE," ? 14,000 ",Not Verified,2015-04-15,Fully Paid,debt_consolidation," ? 19,089 "
31," ? 1,000 ",36 months,8.62%, ? 32 ,OTHER, ? 900 ,Not Verified,2017-05-25,Fully Paid,debt_consolidation," ? 1,189 "
32," ? 10,500 ",36 months,22.69%, ? 405 ,MORTGAGE," ? 10,400 ",Source Verified,2015-03-27,Fully Paid,moving," ? 15,003 "
33," ? 3,500 ",60 months,10.20%, ? 75 ,RENT," ? 3,350 ",Source Verified,2017-04-12,Current,small_business," ? 2,938 "
34," ? 16,000 ",60 months,25.52%, ? 475 ,MORTGAGE," ? 16,100 ",Verified,2016-11-11,Current,debt_consolidation," ? 14,291 "
35," ? 16,500 ",36 months,21.75%, ? 628 ,RENT," ? 16,300 ",Not Verified,2016-03-31,Fully Paid,other," ? 22,268 "
36," ? 15,500 ",36 months,19.20%, ? 570 ,RENT," ? 15,500 ",Not Verified,2016-07-25,Fully Paid,credit_card," ? 20,879 "
37," ? 22,000 ",60 months,8.31%, ? 449 ,OTHER," ? 21,900 ",Source Verified,2016-06-27,Fully Paid,credit_card," ? 26,545 "
38," ? 21,000 ",36 months,25.68%, ? 843 ,RENT," ? 20,950 ",Verified,2017-06-12,Fully Paid,other," ? 30,448 "
39," ? 13,500 ",36 months,7.40%, ? 419 ,MORTGAGE," ? 13,550 ",Source Verified,2015-09-13,Charged Off,debt_consolidation," ? 4,887 "
40," ? 27,000 ",36 months,19.94%," ? 1,003 ",MORTGAGE," ? 26,950 ",Source Verified,2017-02-15,Charged Off,other," ? 16,105 "
41," ? 20,000 ",36 months,22.67%, ? 771 ,RENT," ? 19,950 ",Source Verified,2016-10-21,Fully Paid,debt_consolidation," ? 26,953 "
42," ? 31,000 ",60 months,25.20%, ? 914 ,MORTGAGE," ? 30,850 ",Verified,2016-11-17,Fully Paid,other," ? 53,359 "
43," ? 20,500 ",36 months,9.98%, ? 661 ,RENT," ? 20,450 ",Not Verified,2015-05-30,Fully Paid,moving," ? 23,986 "
44," ? 25,500 ",36 months,10.88%, ? 833 ,MORTGAGE," ? 25,300 ",Not Verified,2015-08-07,Current,debt_consolidation," ? 17,475 "
45," ? 34,000 ",36 months,17.15%," ? 1,215 ",OWN," ? 33,850 ",Source Verified,2017-08-09,Charged Off,other," ? 19,162 "
46," ? 29,000 ",36 months,20.39%," ? 1,084 ",MORTGAGE," ? 29,150 ",Not Verified,2017-08-30,Fully Paid,small_business," ? 40,332 "
47," ? 18,500 ",60 months,16.43%, ? 454 ,MORTGAGE," ? 18,500 ",Source Verified,2016-08-08,Fully Paid,debt_consolidation," ? 28,318 "
48," ? 6,000 ",36 months,10.63%, ? 195 ,MORTGAGE," ? 5,950 ",Verified,2017-04-14,Fully Paid,debt_consolidation," ? 6,726 "
49," ? 27,500 ",36 months,21.40%," ? 1,042 ",OWN," ? 27,300 ",Not Verified,2017-02-18,Fully Paid,other," ? 36,747 "
50," ? 25,500 ",60 months,25.07%, ? 750 ,RENT," ? 25,450 ",Source Verified,2016-07-12,Fully Paid,debt_consolidation," ? 44,234 "
51," ? 26,500 ",60 months,22.81%, ? 744 ,OWN," ? 26,300 ",Not Verified,2015-02-25,Fully Paid,debt_consolidation," ? 46,288 "
52," ? 12,500 ",36 months,13.58%, ? 425 ,RENT," ? 12,550 ",Verified,2017-02-15,Fully Paid,other," ? 15,168 "
53," ? 6,000 ",36 months,20.98%, ? 226 ,RENT," ? 6,050 ",Verified,2015-05-21,Current,home_improvement," ? 4,495 "
54," ? 16,500 ",36 months,6.41%, ? 505 ,RENT," ? 16,400 ",Source Verified,2015-08-23,Fully Paid,debt_consolidation," ? 18,544 "
55," ? 24,500 ",36 months,18.14%, ? 887 ,MORTGAGE," ? 24,350 ",Not Verified,2015-12-02,Current,debt_consolidation," ? 3,687 "
56," ? 20,500 ",36 months,24.16%, ? 806 ,RENT," ? 20,450 ",Verified,2016-05-12,Fully Paid,small_business," ? 30,032 "
57," ? 8,500 ",60 months,17.32%, ? 213 ,RENT," ? 8,600 ",Source Verified,2015-05-22,Fully Paid,debt_consolidation," ? 13,209 "
58," ? 32,000 ",36 months,25.22%," ? 1,276 ",MORTGAGE," ? 32,150 ",Not Verified,2017-06-10,Fully Paid,credit_card," ? 46,629 "
59," ? 31,500 ",36 months,22.51%," ? 1,211 ",MORTGAGE," ? 31,550 ",Not Verified,2015-06-27,Fully Paid,debt_consolidation," ? 44,700 "
60," ? 25,000 ",36 months,15.89%, ? 878 ,RENT," ? 25,150 ",Verified,2016-06-13,Fully Paid,moving," ? 32,228 "
61," ? 18,500 ",36 months,16.33%, ? 653 ,RENT," ? 18,450 ",Not Verified,2017-09-27,Fully Paid,debt_consolidation," ? 23,467 "
62," ? 32,000 ",36 months,6.34%, ? 978 ,RENT," ? 32,100 ",Not Verified,2016-09-19,Charged Off,debt_consolidation," ? 14,843 "
63," ? 23,000 ",36 months,20.92%, ? 866 ,RENT," ? 23,150 ",Verified,2016-05-29,Fully Paid,major_purchase," ? 30,586 "
64," ? 12,500 ",36 months,20.77%, ? 469 ,RENT," ? 12,500 ",Not Verified,2016-02-02,Fully Paid,debt_consolidation," ? 16,566 "
65," ? 9,000 ",36 months,25.49%, ? 360 ,MORTGAGE," ? 8,900 ",Source Verified,2017-10-02,Fully Paid,debt_consolidation," ? 12,686 "
66," ? 31,500 ",36 months,9.69%," ? 1,012 ",RENT," ? 31,650 ",Verified,2015-05-14,Fully Paid,debt_consolidation," ? 36,898 "
67," ? 4,000 ",36 months,22.22%, ? 153 ,OWN," ? 3,850 ",Not Verified,2015-08-31,Fully Paid,debt_consolidation," ? 5,569 "
68," ? 15,000 ",60 months,13.61%, ? 346 ,OWN," ? 15,000 ",Not Verified,2017-05-28,Fully Paid,home_improvement," ? 20,988 "
69," ? 7,000 ",60 months,10.16%, ? 149 ,RENT," ? 6,850 ",Verified,2015-12-22,Fully Paid,debt_consolidation," ? 8,875 "
70," ? 31,000 ",36 months,10.63%," ? 1,009 ",MORTGAGE," ? 31,150 ",Verified,2016-04-23,Current,small_business," ? 17,263 "
71," ? 13,500 ",36 months,16.89%, ? 481 ,MORTGAGE," ? 13,500 ",Not Verified,2015-05-27,Fully Paid,car," ? 17,465 "
72," ? 19,000 ",36 months,15.37%, ? 662 ,RENT," ? 19,100 ",Not Verified,2017-10-21,Fully Paid,debt_consolidation," ? 24,069 "
73," ? 28,500 ",60 months,18.07%, ? 725 ,RENT," ? 28,450 ",Not Verified,2015-02-12,Current,home_improvement," ? 11,381 "
74," ? 3,500 ",60 months,9.50%, ? 74 ,MORTGAGE," ? 3,650 ",Not Verified,2016-01-07,Current,debt_consolidation," ? 2,596 "
75," ? 6,500 ",36 months,14.17%, ? 223 ,RENT," ? 6,350 ",Not Verified,2016-11-06,Fully Paid,credit_card," ? 8,147 "
76," ? 26,500 ",60 months,17.00%, ? 659 ,MORTGAGE," ? 26,550 ",Verified,2015-08-26,Current,debt_consolidation," ? 16,152 "
77," ? 1,000 ",36 months,16.85%, ? 36 ,RENT, ? 950 ,Source Verified,2017-10-17,Charged Off,small_business, ? 360 
78," ? 9,000 ",60 months,14.76%, ? 213 ,MORTGAGE," ? 8,850 ",Verified,2016-05-05,Charged Off,debt_consolidation," ? 2,626 "
79," ? 27,000 ",36 months,25.85%," ? 1,086 ",OWN," ? 27,150 ",Not Verified,2015-11-12,Fully Paid,major_purchase," ? 39,120 "
80," ? 18,000 ",36 months,15.65%, ? 630 ,MORTGAGE," ? 18,150 ",Source Verified,2017-02-24,Fully Paid,credit_card," ? 23,228 "
81," ? 9,500 ",60 months,11.52%, ? 209 ,MORTGAGE," ? 9,600 ",Verified,2017-11-05,Fully Paid,debt_consolidation," ? 12,825 "
82," ? 32,000 ",60 months,14.93%, ? 760 ,MORTGAGE," ? 32,050 ",Source Verified,2017-02-11,Fully Paid,debt_consolidation," ? 44,186 "
83," ? 16,000 ",36 months,10.67%, ? 521 ,MORTGAGE," ? 15,800 ",Verified,2017-08-26,Charged Off,car," ? 6,652 "
84," ? 10,500 ",36 months,6.74%, ? 323 ,MORTGAGE," ? 10,550 ",Not Verified,2017-06-20,Fully Paid,other," ? 11,063 "
85," ? 10,000 ",36 months,19.10%, ? 367 ,RENT," ? 10,150 ",Not Verified,2016-06-26,Fully Paid,major_purchase," ? 13,413 "
86," ? 22,000 ",60 months,23.19%, ? 623 ,RENT," ? 22,050 ",Source Verified,2017-09-26,Current,debt_consolidation," ? 5,269 "
87," ? 19,000 ",60 months,20.94%, ? 513 ,RENT," ? 18,850 ",Not Verified,2015-07-25,Fully Paid,major_purchase," ? 32,045 "
88," ? 3,500 ",36 months,7.12%, ? 108 ,RENT," ? 3,600 ",Verified,2017-12-23,Fully Paid,major_purchase," ? 3,773 "
89," ? 12,000 ",36 months,23.42%, ? 467 ,MORTGAGE," ? 11,950 ",Source Verified,2015-10-21,Fully Paid,home_improvement," ? 16,749 "
90," ? 1,500 ",60 months,15.31%, ? 36 ,RENT," ? 1,400 ",Verified,2016-12-08,Current,debt_consolidation," ? 1,460 "
91," ? 17,000 ",36 months,12.04%, ? 565 ,OTHER," ? 17,150 ",Verified,2017-02-20,Fully Paid,credit_card," ? 21,341 "
92," ? 19,500 ",36 months,22.60%, ? 751 ,RENT," ? 19,300 ",Source Verified,2015-04-11,Current,small_business," ? 16,209 "
93," ? 19,000 ",60 months,10.60%, ? 409 ,MORTGAGE," ? 18,950 ",Source Verified,2016-05-28,Charged Off,major_purchase," ? 11,388 "
94," ? 9,500 ",36 months,24.07%, ? 373 ,MORTGAGE," ? 9,500 ",Not Verified,2015-03-10,Fully Paid,major_purchase," ? 12,880 "
95," ? 19,500 ",36 months,14.31%, ? 669 ,RENT," ? 19,550 ",Source Verified,2016-07-12,Current,debt_consolidation," ? 14,334 "
